"logFC","AveExpr","t","P.Value","adj.P.Val","B","change","geneName"
1.33161488149353,8.23871978813065,5.75882159864402,2.11063498854308e-06,0.0280693347126344,3.41326169689356,"up","ERF"
1.37649058182917,6.26836421808726,4.96479259481938,2.15007161913537e-05,0.142969012314406,1.7938974043793,"up","PTGER4P2-CDK2AP2P2"
1.41126877167937,5.60332626760924,4.43944107231695,9.8733717838987e-05,0.408721267141709,0.703440241987246,"up","PMS2P9///PMS2P6///LOC441259///PMS2P5///PMS2P4///PMS2P1"
0.808986695800533,5.95654213249564,4.12580938500546,0.000242178828943182,0.408721267141709,0.0536333688722097,"up","RAD54L2"
1.03715811641734,6.15970864616695,4.06140403115094,0.000290683002384953,0.408721267141709,-0.0791666129412771,"up","RBL1"
-1.20143776876463,4.16978020763655,-4.053851396294,0.000296960184897473,0.408721267141709,-0.0947198207275513,"down","RFXAP"
-0.910240875240658,10.0058276836691,-3.97590427262421,0.000370012614419106,0.408721267141709,-0.254965385921097,"down","RFK"
0.944927845916221,7.68182916312677,3.92764250755308,0.0004237672435189,0.408721267141709,-0.353911568735371,"up","STON1"
-1.79741107232762,9.91343948620434,-3.9019730648491,0.000455392312236818,0.408721267141709,-0.406446065756329,"down","COL5A2"
-1.30457670169763,5.20821962192811,-3.89037867134811,0.000470421235044848,0.408721267141709,-0.43015263872234,"down","PDC"
-0.875631644459664,6.44023203465954,-3.71683563243794,0.000762365920086611,0.408721267141709,-0.783129932248992,"down","MRPS16"
0.994200183587286,7.12939290112755,3.62816199048308,0.000973230272342427,0.408721267141709,-0.961944635489789,"up","NRIP2"
-0.878222165041552,8.2602181160435,-3.59361909025721,0.00106982735298299,0.408721267141709,-1.03127940857724,"down","CNR1"
1.50762348201189,6.70706157766262,3.57749626774043,0.00111803001883889,0.408721267141709,-1.06357560925044,"up","LILRA4"
1.36175909194401,5.21401664364164,3.57146356909441,0.00113660074117632,0.408721267141709,-1.0756489300059,"up","FGF20"
-1.41490587010635,7.40130467251871,-3.53165507528824,0.00126683649896765,0.408721267141709,-1.15516433712135,"down","FAR2"
0.941672807819366,7.64426843234729,3.48632566500976,0.00143269831715698,0.408721267141709,-1.24537024655924,"up","CNGB3"
1.30462208241734,7.03305719298256,3.46117564674853,0.00153356209089068,0.408721267141709,-1.29525745768693,"up","CCNB2"
1.22628782991851,6.32083498272862,3.44055134547421,0.00162134931126134,0.408721267141709,-1.33607853598378,"up","KLRB1"
1.39485433518759,6.04335638063272,3.43694358717618,0.00163719495674776,0.408721267141709,-1.34321087717675,"up","HPR///HP"
-1.34320975887874,8.95055886068383,-3.4325513695866,0.00165668732574142,0.408721267141709,-1.35189064465854,"down","WIF1"
0.904847969668702,5.79935761356827,3.39774225776744,0.00181926573092249,0.408721267141709,-1.42054501507874,"up","PDZD3"
1.02128587410233,6.61940000165848,3.37640171613715,0.00192641054290035,0.408721267141709,-1.46251467410355,"up","TEAD3"
1.35377354326247,5.80506297955863,3.37445900345794,0.00193645997685444,0.408721267141709,-1.4663306941671,"up","INCENP"
1.13804336562551,5.93085426465484,3.35524969290428,0.00203857610743768,0.408721267141709,-1.50402073893954,"up","LRAT"
1.00193700727897,4.71888455538895,3.35463377357762,0.00204193438278025,0.408721267141709,-1.50522793602646,"up","AVPR2"
1.15308648288483,3.12662826147589,3.34132752036354,0.00211579611366074,0.408721267141709,-1.53128843916793,"up","ZBTB7C"
1.01980922615713,7.36895289011114,3.32043722343545,0.00223695169046814,0.408721267141709,-1.57212574795714,"up","GPRC5C"
1.01862316452298,6.85904639261317,3.31915315273059,0.00224461185814855,0.408721267141709,-1.57463281643832,"up","RANBP17"
1.46996939622919,5.7346548632707,3.31010198353586,0.00229932459891032,0.408721267141709,-1.59229440109864,"up","FBXW4P1"
0.803137148764981,6.78969354634782,3.3060985482043,0.00232393026068365,0.408721267141709,-1.60010056093509,"up","IRAK4"
-1.20519990867723,8.86914588089873,-3.30590361146737,0.00232513478749027,0.408721267141709,-1.60048057072795,"down","TRIM36"
0.802967529383032,9.14329825560914,3.30210592454325,0.00234872062775117,0.408721267141709,-1.60788210107777,"up","SCD5"
1.10097868288641,5.21387871370911,3.29100518630886,0.00241898394979485,0.408721267141709,-1.62949852270074,"up","UMOD"
0.985526574344155,6.30819248762852,3.27612048249554,0.0025163628283737,0.408721267141709,-1.65843988984453,"up","LTB4R"
-0.85207596103809,7.94373031737759,-3.26931273791148,0.00256214067674006,0.408721267141709,-1.67165985702001,"down","COL4A1"
0.878231113243801,8.22916778718295,3.26603002092507,0.0025844986319244,0.408721267141709,-1.67803076948053,"up","WWTR1"
-0.862467814600923,4.42053633469059,-3.21288626200167,0.00297346545164774,0.408721267141709,-1.78081829194734,"down","PCDHA2"
0.958423478818262,7.92499592357205,3.1999667739138,0.00307614642860047,0.408721267141709,-1.8057043575188,"up","ROBO3"
1.0082128212779,4.71871221189538,3.19628673817088,0.00310600808403871,0.408721267141709,-1.81278553759799,"up","LOC389906"
1.30574760463968,6.78816198344577,3.15895119738644,0.00342501352057777,0.408721267141709,-1.88443705196616,"up","HOXB1"
-0.85296832295166,10.0771477791973,-3.14143314503899,0.00358523123302621,0.408721267141709,-1.91793497517103,"down","RFPL1S"
-0.80495019140241,8.6390458413869,-3.13602860618349,0.00363608348738035,0.408721267141709,-1.92825357608803,"down","NETO2"
-1.91445198453414,5.32483286309132,-3.09888515206176,0.00400458828512527,0.408721267141709,-1.99896284476251,"down","USP9Y"
-1.3197228991926,8.99534850039615,-3.09576218788964,0.00403713851954296,0.408721267141709,-2.00489130118258,"down","TAC1"
1.21122118239142,5.61312349645174,3.08605089234582,0.00413997118979596,0.408721267141709,-2.02330991075394,"up","BTF3P13"
-0.827605471817904,9.58350911636304,-3.07582141586564,0.0042509777716821,0.408721267141709,-2.04268370584948,"down","GRIA1"
1.00565739262182,7.12942603995223,3.06170042308155,0.00440886170608688,0.408721267141709,-2.0693807356125,"up","CD3D"
1.13638491840205,5.85488097013701,3.05343513773701,0.0045038378039285,0.408721267141709,-2.08498150358606,"up","SLFN12"
1.35169750644086,5.72854803606081,3.04577860413416,0.00459354651100384,0.408721267141709,-2.09941630171511,"up","ERMAP"
1.27628089563903,4.41514737167597,3.04154144723523,0.0046439168458641,0.408721267141709,-2.10739753270489,"up","AKR1C4"
1.01094384932049,6.75452965201712,3.04107529198446,0.00464949023423334,0.408721267141709,-2.10827528864431,"up","BIN3-IT1"
0.900940828025382,6.30325425137905,3.02974648049665,0.00478690266210622,0.408721267141709,-2.12958826499652,"up","GLRA1"
1.05833275737746,6.24640134787276,3.02777929183899,0.00481115209556814,0.408721267141709,-2.13328545262612,"up","F9"
0.883718523919568,7.07711124159621,3.00975680934535,0.00503879240204648,0.408721267141709,-2.16710601228212,"up","CPB1"
0.83977580857028,5.4477825219738,2.99738994124638,0.00520085187568531,0.408721267141709,-2.19025931085292,"up","ADAM8"
0.883019465692332,5.01620957417202,2.97856966927095,0.00545696381072876,0.408721267141709,-2.22540913302394,"up","CCL23"
0.964557412313538,5.27293249804516,2.9745927395985,0.00551258680666663,0.408721267141709,-2.23282333520557,"up","VNN3"
